code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,-2.915,6.66,6.78,6.78,6.58,6.86,2133220.0,0.92588,14231051.0,22.966,2.3,383616.0,153446.4
603998,方盛制药,0.0,9.43,0.0,0.0,0.0,9.43,0.0,0.0,0.0,58.938,4.066,406373.09121,400960.50696
603997,继峰股份,-0.934,10.61,10.75,10.75,10.31,10.71,3938950.0,2.30348,41233871.0,17.983,4.053,676620.0712,181431.0
603996,中新科技,-1.248,15.83,15.85,16.1,15.76,16.03,1583319.0,1.5331100000000002,25123904.0,40.59,3.345,475137.45,163484.325
603993,洛阳钼业,-10.015,6.2,6.59,6.73,6.2,6.89,197791524.0,1.52691,1258318670.0,103.333,3.592,13391529.16146,8031313.03338
603991,至正股份,-5.578,20.65,21.37,21.5,20.0,21.87,502700.0,2.68824,10522614.0,30.821,3.468,153914.77087,38615.5
603990,麦迪科技,-1.547,33.73,34.0,34.0,32.88,34.26,196250.0,0.32561,6560812.0,44.973,6.654,272951.9298,203297.456
603989,艾华集团,-0.487,32.67,31.88,33.77,31.8,32.83,1465850.0,1.7373,48664091.0,37.125,5.551,980100.0,275653.125
603988,中电电机,0.0,27.6,0.0,0.0,0.0,27.6,0.0,0.0,0.0,92.0,3.355,331200.0,331200.0
603987,康德莱,-1.205,10.66,10.31,10.69,10.1,10.79,1077200.0,0.5667300000000001,11317412.0,17.194,2.807,336253.71,202616.1657
603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0.0,0.0,0.0,77.049,20.619,3306111.821008,2403497.3492
603985,恒润股份,-3.552,29.05,29.39,29.55,28.7,30.12,356458.0,1.7822900000000002,10393949.0,18.402,2.382,232400.0,58100.0
603980,吉华集团,-3.738,17.51,17.82,17.9,17.22,18.19,2803282.0,2.80328,49352196.0,18.316,2.258,875500.0,175100.0
603979,金诚信,-4.541,9.04,9.3,9.32,8.91,9.47,3660301.0,1.5053,33338631.0,21.524,1.391,528840.0,219816.92928
603978,深圳新星,-3.988,67.66,69.0,70.88,66.1,70.47,745023.0,3.72512,51099269.0,30.615,4.174,541280.0,135320.0
603977,国泰集团,-2.765,10.2,10.32,10.44,10.05,10.49,1283888.0,1.02155,13201712.0,17.288,2.408,225501.6,128193.6
603976,正川股份,-2.928,20.89,20.81,21.26,20.44,21.52,781522.0,2.89453,16346030.0,24.011,2.407,225612.0,56403.0
603970,中农立华,-8.63,21.81,22.82,22.98,21.48,23.87,4292701.0,12.87808,95579708.0,26.689,5.777,290800.1454,72700.1454
603969,银龙股份,-4.228,11.1,11.32,11.41,10.98,11.59,4844200.0,3.17381,54281083.0,30.833,2.776,444000.0,169419.855
603968,醋化股份,-1.922,17.86,18.0,18.21,17.36,18.21,838425.0,0.6137800000000001,14968035.0,24.806,2.841,365201.28,243967.6
603966,法兰泰克,-2.871,12.18,12.07,12.54,12.05,12.54,892471.0,1.24769,10899593.0,25.915,2.434,194880.0,87123.63744
603963,大理药业,-6.445,22.79,23.8,23.8,22.01,24.36,1188940.0,4.75576,27613646.0,27.458,4.976,227900.0,56975.0
603960,克来机电,3.165,25.1,23.98,25.28,23.2,24.33,594970.0,2.28835,14406350.0,41.833,6.2780000000000005,261040.0,65260.0
603959,百利科技,0.873,28.89,27.5,29.55,26.49,28.64,944074.0,0.89307,25999107.0,54.509,7.125,647136.0,305398.423197
603958,哈森股份,-3.754,10.0,10.18,10.25,9.79,10.39,1913900.0,2.89989,19197159.0,23.641,1.915,217360.0,65998.996
603955,大千生态,-3.928,30.33,30.48,31.14,29.9,31.57,689500.0,3.17011,21049357.0,28.41,2.543,263871.0,65967.75
603939,益丰药房,-2.403,41.42,39.0,43.0,38.8,42.44,768684.0,0.38685,31758892.0,62.474,4.8870000000000005,1502281.273436,823026.409436
603938,三孚股份,-6.146,24.89,25.6,26.2,24.8,26.52,2034259.0,5.41652,51891667.0,34.569,4.017,373764.6674,93478.3774
603937,丽岛新材,-5.982,17.76,18.26,18.56,17.5,18.89,4213910.0,8.06953,76216336.0,31.714,3.614,370970.88,92742.72
603936,博敏电子,-1.105,24.16,23.95,24.24,23.5,24.43,1007850.0,1.7965200000000001,24126877.0,75.737,4.123,404317.6,135537.6
603933,睿能科技,-2.349,33.67,33.45,34.14,32.6,34.48,1505257.0,5.86388,50476528.0,27.751,3.588,345689.89,86430.89
603929,亚翔集成,-4.46,19.92,20.08,21.14,19.6,20.85,2153255.0,2.22997,43672372.0,19.34,4.449,425013.12,192347.52
603928,兴业股份,-2.63,12.96,13.1,13.15,12.85,13.31,669300.0,1.06625,8703494.0,19.059,2.391,261273.6,81351.864
603926,铁流股份,-2.185,22.38,22.0,22.49,21.81,22.88,763632.0,2.54544,16922721.0,18.048,2.338,268560.0,67140.0
603922,金鸿顺,-4.042,22.08,22.38,22.86,21.93,23.01,1163597.0,3.63624,26040083.0,19.892,3.657,282624.0,70656.0
603920,世运电路,-3.355,14.98,15.09,15.26,14.85,15.5,2013235.0,2.26716,30323130.0,17.624,2.59,601896.4,133022.4
603919,金徽酒,-2.899,16.75,17.0,17.01,16.51,17.25,1453798.0,1.25502,24342824.0,19.706,3.482,609700.0,194029.40375
603918,金桥信息,-3.41,13.03,13.26,13.26,12.52,13.49,691308.0,0.56047,9014997.0,81.438,4.825,231054.475,160717.232
603917,合力科技,-4.782,22.3,22.76,22.87,21.92,23.42,2688280.0,9.600999999999999,60196766.0,23.904,4.217,249760.0,62440.0
603916,苏博特,-5.304,13.57,13.81,14.0,13.2,14.33,4590948.0,6.04072,63029334.0,23.397,2.508,412528.0,103132.0
603912,佳力图,-8.147,19.73,20.4,20.9,19.59,21.48,4606601.0,12.45027,93410406.0,36.537,6.996,292004.0,73001.0
603909,合诚股份,-1.402,27.43,27.82,27.82,26.7,27.82,176500.0,0.706,4773949.0,41.491,4.462,281157.5,68575.0
603908,牧高笛,-2.822,28.24,28.45,28.75,27.63,29.06,249600.0,1.4955100000000001,7042862.0,29.726,4.212,188332.56,47132.56
603906,龙蟠科技,-4.876,12.29,12.74,12.74,12.22,12.92,837200.0,1.6099999999999999,10467488.0,21.561,2.194,255632.0,63908.0
603903,中持股份,-6.841,25.6,26.62,26.99,25.12,27.48,772298.0,3.01567,20154843.0,41.967,3.843,264540.16,65560.32
603901,永创智能,-3.821,7.3,7.19,7.48,7.19,7.59,1335102.0,0.8669500000000001,9764886.0,33.182,3.12,292000.0,112420.0
603900,莱绅通灵,-3.307,26.02,26.21,26.86,25.78,26.91,1294017.0,1.5202499999999999,34059382.0,22.051,3.99,885912.93168,221478.23292
